dep i re partn w depres peopl tru dont understand th depth in which they afect u ad in anxiety &amp mak it wors pres || Ground truth: sadness
in ne of a chang restles || Ground truth: sadness
us us cm do scren august &amp at mif by n || Ground truth: sadness
presur 😦 || Ground truth: sadness
us shock los of talent young man pray pray for hi fami || Ground truth: sadness
m i mis your personality wil it com back him i'm sory i'm m you b you sad depres long distanc relationship || Ground truth: sadness
th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
th solar eclips wa real col inspir || Ground truth: joy
us no racism no hatr no sectarianism on y to lov || Ground truth: optimism
yuk no video do zico th world i shak won || Ground truth: sadness
but i hav ofend so many peopl with th idea that conflict and valu judg ar separat that w ne to hav a talk || Ground truth: optimism
ik to pm darl i wil haunt you in your nightmar dres lik a dream best th ev gam ln ov nawaz || Ground truth: joy
helo phy i'm stres ov u ayu na ¿ ☹ ku || Ground truth: sadness
th ar part of you that want th sad find them out ask them why || Ground truth: sadness
us huhu kak help m through al of thi || Ground truth: sadness
let' start al ov again fel lov hapi loyalty truth || Ground truth: joy
i'v nev ben hapi i'm lay awak a i watch us slep thank for mak m hapy again bab || Ground truth: joy
us i th man || Ground truth: joy
us improv on th mak dear to avoid reduct in viewership up || Ground truth: sadness
us couldn't hav deliver without you us inspir partnership women || Ground truth: optimism
us i don't know my mouth wa burn th whol tim || Ground truth: sadness
us 😂 h lok lik a sea we vers of cousin it from adam fami and wa r tal a al || Ground truth: joy
how i drink two  and im stil somewhat sob || Ground truth: joy
mima tremendou at bring th nois || Ground truth: joy
us lol nah u sub r pm n pay r each day thu anada r pm lol stream n us d ap us ur data smil crib || Ground truth: joy
damn twit mak everybody mad it' hilariou 😂 || Ground truth: joy
🔝 lov inst photo us photo cut pictur beauti folow hapy folow fash pic pic a god of th day everyday m of th day || Ground truth: joy
of cours i'v got a horibl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
remain atach to god dur your hapi and dur your sad || Ground truth: optimism
work not to || Ground truth: sadness
us omg por you it hapen to m last sum i saw my und skin 😰 || Ground truth: sadness
th patient w increasing protect dur heart atack chain hav encourag smok ang and hundr of new hospit || Ground truth: joy
don't griev ov th so bad || Ground truth: sadness
us balrom danc clas tomorow any advic for a first tim || Ground truth: joy
they say ur a prd of ur suround a bit intimidat by th crazy amaz pl i met us us us us ct || Ground truth: joy
us it' an even for ly around do feck al lok lik an octob even down h miserabl || Ground truth: sadness
us godes that por girl 🙁 || Ground truth: sadness
cold sor ar th worst th second you smil or laugh it' ov blod everywh || Ground truth: sadness
unforgive liv in th dark || Ground truth: sadness
us shock a wel but bc i che for anoth club in th swis league… || Ground truth: optimism
i'm nervou || Ground truth: sadness
us im sory i vot jean &lt u lok bang who tf ne fod anyway when ur a student existenti dread fe u || Ground truth: joy
thi weath = my mod ☔ miserabl || Ground truth: sadness
us let that sink in || Ground truth: sadness
chiropractor tim crackl pop chiropractor || Ground truth: joy
u can get an oreo shak at burg k || Ground truth: joy
com on blu stat origin nsw nsw of origin blu || Ground truth: optimism
