user shock loss of talent young man prayer pray for hi fami || Ground truth: sadness
user user american do not spank their children and they ar a god fear peopl who know th biggest sin i hypocrisy || Ground truth: optimism
user no racism no hatr no sectarianism on y to lov || Ground truth: optimism
but i hav offend so many peopl with th idea that conflict and valu judgment ar separat that w ne to hav a talk || Ground truth: optimism
hello phy i'm stress over u ayuku na ¿ ☹ || Ground truth: sadness
user i th man || Ground truth: joy
user improv on th makeup dear to avoid reduction in viewership || Ground truth: sadness
user couldn't hav deliver without you user inspir partnership women || Ground truth: optimism
user i don't know my mouth wa burn th whol tim || Ground truth: sadness
user 😂 h look lik a sea we version of cousin it from adam fami and wa reaaaal tall || Ground truth: joy
user lol nah u subscrib r pm n pay r each day thu anada r pm lol stream n us d app us ur data smil || Ground truth: joy
of cours i'v got a horribl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
user omg poor you it happen to m last summer i saw my under skin 😰 || Ground truth: sadness
th patient wer increasing protect dur heart attack chain hav encourag smok anger and hundred of new hospital || Ground truth: joy
they say ur a prdct of ur surrounding a bit intimidat by th crazy amaz ppl i met user user user user || Ground truth: joy
user it' an even for ly around do feck all look lik an october even down her miserabl || Ground truth: sadness
user im sorry i vot jean &lt u look bang who tf need food anyway when ur a student existential dread feed u || Ground truth: joy
user user y it i i especial lov th rambl chat lov when they go off topic for lik ten minut awesome || Ground truth: joy
user let that sink in || Ground truth: sadness
humbl yourself in th sight of th lord if w hav di in christ then how can w b offend a dead person cannot feel anyth right || Ground truth: optimism
user user user watch th totalsolareclips on ur channel right now amaz what' happen in th usa || Ground truth: joy
user you mad m laugh today when you told a caller to turn up th volum that you weren't do th marvingay th levity || Ground truth: joy
aj end up be a terribl character but no on in hi fami ever actual speak to him h witness so much and just get sent away || Ground truth: sadness
user although i hav a nic vulva i choos not to intimidat other women with it || Ground truth: optimism
don't justify terrorism a communal hatr amarnathterrorattack i sheer act of cowardic let' unit together against terrorism luv all || Ground truth: optimism
john let not your heart b troubl neither let it b afraid peac afraid || Ground truth: joy
user user no it wa a selfi of him from seven month ago look at th top left of th snap peopl || Ground truth: joy
amarnathterrorattack user user cn u plz an wt u r afrd of or wt stpng u to end terrorism wn whol india i stndng wth u || Ground truth: sadness
usual th thing you ar most afraid of ar th most worthwhil fact teamfollowback rocktheretweet || Ground truth: optimism
user aw feel or qu || Ground truth: sadness
johnny doesn't seem lik th suicidal typ suspicion tcmparty || Ground truth: sadness
but damn th sight of them gett scar af mak m feeel sooo bad which they should feel afraid caus if their mom don't com n it them || Ground truth: sadness
from th archiv strikeforc champ ronda rousey chirp church mayhemmiller nak rip rondarousey twitter || Ground truth: sadness
i hat thes crippl anxiety || Ground truth: sadness
try to work out how a band featur corin tucker and peter buck rem could b so bad waahhhhh user devastat || Ground truth: sadness
i'v seen som get so discourag in their old ag beco they aren't physical abl do th thing for god they us do in their youth || Ground truth: sadness
hold a grudg i lik allow someon to liv rent fre in your head wednesdaywisdom motivationalquot || Ground truth: optimism
look up som phon pric onlin and it just sadden m even mor 😧 || Ground truth: sadness
another blow for student a th su hav shunn wildcat for fear they will offend dr dr || Ground truth: sadness
ly at th pool with john ic cream drink degre and listen to bust ✌ 🏼 ️ bliss || Ground truth: joy
morn swindon i ther any chanc you can cheer yourself up a bit bleak 😝 || Ground truth: sadness
