user user cmbyn do screen august &amp at miff || Ground truth: sadness
pressur 😦 || Ground truth: sadness
when jim sheridan i stand next to you and you don't say a word facepalm tongueti || Ground truth: anger
sleep i and will alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
yukwon no video do zico th world i shak || Ground truth: sadness
when you should b work but you'r shopp amazon prim deal instead 😦 || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quell horror yummymummiesau || Ground truth: anger
r sox fan ar mad onher it' almost lik their all star relief pitcher and st baseman both left with injuri in thi gam 🤷 🏻 ‍♀ ️ || Ground truth: anger
request mri year ago neuro on request last year i'm still wait on appointment mssuck healthcarefail || Ground truth: anger
cold sor ar th worst th second you smil or laugh it' over blood everywher || Ground truth: sadness
user shock a well but bc i cheer for another club in th swiss league… || Ground truth: optimism
thi weather = my mood ☔ miserabl || Ground truth: sadness
user sir what about g g g coalgat scam parliament attack mumbai terror attack despit intelligenc input || Ground truth: anger
fuckfuckfuck my hand ar shak || Ground truth: anger
part of danielhiv insecur i got you || Ground truth: sadness
user user it i inde tim you creat th ghost filter 👻 pleas 🙏 🏾 canwegetaghostfilter snapchat ghostfilter retweet || Ground truth: optimism
fill with sophisticat glum || Ground truth: sadness
user user it ruin my frigg night each night at pm mr lov it i'v been ear to b for a month || Ground truth: anger
my main concern ar th children and hi wif that if sh i still stuck with him and if sh i then she' strong af jeez 😟 || Ground truth: sadness
user sam a th bul in second grad classic || Ground truth: anger
user sometim our judiciary just leav you breathless and speechless || Ground truth: anger
good to learn wisdom &lt &lt reform v mak in order to improv someth &gt &gt || Ground truth: optimism
on hour great next hour bullshit welcom to goodyear 😠 || Ground truth: anger
when will i ever b happy with myself || Ground truth: sadness
okay thi girl on teen mom i scream but sh on cm dilat 😭 when i wa cm i wa just piss bc sh wouldn't giv m water || Ground truth: anger
user gut 😂 😂 😂 go and sunk your fac in sand || Ground truth: anger
it' in th morn and i'm dry ass up 😂 || Ground truth: sadness
user becaus ken i a rabid lefty extremist and propagandist || Ground truth: anger
who also miss gle gleek gle gleeforever dreamscometru dontstopbeliev gleecast user || Ground truth: sadness
nic on e so much for data protection not impress that you can talk to someon th opposit sex who guess my password || Ground truth: anger
duty call 😧 || Ground truth: anger
i should'v stay in b || Ground truth: sadness
user horribl experienc not satisfi low on standard || Ground truth: anger
and clear all thi breathless coverag isn't cover th real collusion story dnc &amp ukrainecollusion || Ground truth: anger
amazon' primeday debut in india wa disappoint mayb next year it will get better glad it' final her though 😅 || Ground truth: anger
sh trapp m but i lov her insecur killingm user || Ground truth: sadness
user it real i and it wa a normal th a few year ago but it should'v stay in th past by now || Ground truth: sadness
post vacation blu ar so real 😔 || Ground truth: sadness
i wa so confus but then my inner fujoshi wa scream and lik i wa try so hard not to smil or laugh || Ground truth: sadness
who knew magnu ban with teary ey and trembl lip would b my downfall || Ground truth: sadness
user oh for four year thes panelist wer th lnp cheer squad hypocrit || Ground truth: anger
colorfabb ngen worst filament for m good finish but so fragil cc user || Ground truth: anger
user wait i saw thi tweet and thought h wa jok h wa seriou 😂 😂 😂 || Ground truth: anger
fucк m on kik guy hhorny dick sex womensbodi snapm sext xxx || Ground truth: anger
feel blind new spec pleas 😰 || Ground truth: sadness
mood kinda bitter bc le hi didn't appear in jaewon debut mv || Ground truth: anger
just finish play mystic messenger and i didnt expect th amount of angst in it 〒 ▽ 〒 mysticmessenger feel || Ground truth: optimism
user i said that onc and my pal ripp m a new arsehol 😊 || Ground truth: anger
suicid blast kill peopl in cameroon bomb attack security explosion || Ground truth: sadness
another chunk of antarctic th siz of wal brok off th gle of know human deserv their extinction climatechang || Ground truth: anger
user ya on tim i wa lik hey daddy queu up with m i can mak you wild growth and h wa lik nic try lulu abuser 😞 || Ground truth: anger
i am so freak annoy that h constant feel th ne to b a tim in my lif wher i'd b happy with just on monitor on my pc || Ground truth: anger
chad and sarah i honest m and my ex year ago 😂 😂 cbb horrify || Ground truth: anger
user user y i also wrot to them caus my friend wa gett nervou about it hop w get what w want &gt &lt || Ground truth: optimism
i ne a blu water trip lot of function no dress panic || Ground truth: sadness
sweet merci crap that wa som bad sing at th mlballstargam tonight anthem and god bless both wrongnot outoftun || Ground truth: anger
user first second on willtnt i music to my ear 😭 ❤️ ️ shak missedyou || Ground truth: sadness
user omg why ☹ || Ground truth: sadness
no on want th chubby scarr toy hurt || Ground truth: sadness
user humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to add big tim loser arsehol 🇬 🇧 || Ground truth: anger
i lov tattoo but serious justtattooofu that' just reveng &amp it' permanent for lif not sur it' worth th min of fam 🤔 || Ground truth: anger
user then dont disappoint them 😂 || Ground truth: sadness
