i am revolt || Ground truth: anger
th on upsid to be death ill thi week i that i'v gotten better at tak pill optimism || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
i cannot se a rational way of bear a grudg to him for that i do not mayb becaus i do not liv by netflix and i do not car || Ground truth: anger
i lov swimm for th sam reason i lov meditat th feel of weightless || Ground truth: joy
user rumor ha you ar wellendow awesom truth i you ar a big 😲 notsomuch so you know a bunch of gaypeopl sowhat || Ground truth: anger
ik to pmln darl i will haunt you in your nightmar dress lik a dream best th ever gameovernawaz || Ground truth: joy
user user ha occupi on full lan for toll collection permanent result in traffic snarl everyday on up link road || Ground truth: anger
overheard i don't real lik dog i don't feel saf in thi plac clear a hostil environment big covfef trustnoon || Ground truth: anger
a woman i sterilis becaus sh i certain that sh doesn't want children what exact i ther to discuss 😠 loosewomen || Ground truth: anger
not on wa user and user responsibl for th unnecessary outrag of thi movi but mad th director user look bad || Ground truth: anger
remain attach to god dur your happi and dur your sad || Ground truth: optimism
i feel so intimidat talk to chicken now that i know how pretty sh i || Ground truth: joy
user mayb don't nom so many rag dick donny jeez it' lik teach a baby to f a jet || Ground truth: anger
user real becaus music analyz your screenshot with my microscop too i didn't think so offend || Ground truth: anger
thi nightmar i near over gang gang gang || Ground truth: optimism
com on blu stateoforigin origin nswblu nsw || Ground truth: optimism
faint glimps of th circl star present a i went on still gain velocity th palpitation of night and day merg into on || Ground truth: joy
do you ever just get so excit that you'r try to sleep &amp just can't even clos you ey 😁 lik i real ne thi catnap but excitement || Ground truth: joy
sleep i my drug my b i my dealer my alarm i th cop school i th jail teamfollowback || Ground truth: joy
h i hold her so clos wrapp hi hand around her shoulder sh i hold them and they'r both smil i'm still liv ☺ ️ || Ground truth: joy
user user oh that too 🤣 || Ground truth: joy
cod lyft cod w got em us oath great deal ar her for you now loveislov || Ground truth: joy
don't b afraid to ask question he' real &amp there' alway a revelation || Ground truth: optimism
user i colour my hair bright r and had a dodgy fring dread nophoto thankgood betterblond || Ground truth: joy
robert call m to mak sur i wa awak for my night class || Ground truth: joy
i final got my driver permit y readytodriv nervou scar || Ground truth: joy
user i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
user look at babi just mak m cross my leg and winc 😂 || Ground truth: joy
i wa so scar i thought i lost another daughter tonight grate otm ❤ || Ground truth: joy
user on of th twin wa sleep next to m i tri to cover my laughter but i shook so hard sh wok up || Ground truth: joy
over hour train and station on to b back wher i start nightmar || Ground truth: anger
idk why tiff alway hav a am alarm that ring everyday for || Ground truth: anger
don't b discourag || Ground truth: optimism
yik got my first job interview next week haven't had on in year || Ground truth: joy
day tom 😱 || Ground truth: joy
alien newborn alien resurrection sideshow collectibl thi th real wa an abomination horror alien figur || Ground truth: anger
h i very play and can hard stay in on spot || Ground truth: joy
th optimist se opportunity in every barbecu th pessimist se barbecu in every opportunity || Ground truth: optimism
user u mak my heart flutter || Ground truth: joy
hey user you'r go to go to jail on day || Ground truth: anger
too many of u ar not liv our dream becaus w ar liv our fear || Ground truth: optimism
user heeeeeey shilaaang 🙁 || Ground truth: joy
user i remember when ron reagan said tear down that wall trump i so afraid of other h obvious doesn't feel saf || Ground truth: anger
lov it when user i laugh a hard at user rif a i am 😂 cry 🤣 🤣 chateaubriand user || Ground truth: joy
user miss gal i'd real real appreciat a follow back i'm on of your biggest fan || Ground truth: joy
i real lov user real great start to thi season resist || Ground truth: joy
seem lik th on tim spent sober thes past few day wa when i wa sleep and even then i wa wak up fad lol || Ground truth: joy
shall rest by day a fiery gleam by night || Ground truth: joy
user user if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
thes guy real out her disrespect women whil their mom still b do their laundry 🤣 || Ground truth: anger
user every girl nightmar ha ha ha || Ground truth: joy
i don't fear th unsettl demon insid of m i let them conquer th weakest nook of my soul for that i th on provenanc of my power || Ground truth: optimism
batman lik to enrag th heat on th new dimity frock and propos marriag to m pol shaw will lay m a cbgb crazy ball || Ground truth: joy
user it chas them away girl or matlakala 😂 || Ground truth: joy
horny anyon horny bi sex london snapchat gaysnap hornysnap snapchatgay snapchathorny gaysnapchat hornysnapchat snapgay snap || Ground truth: joy
no matter how much user light up th forest they end up gett lost 😂 zescoforest ssbola || Ground truth: joy
i must say th amount of low level fighter and gatekeeper runn their mouth i ridiculou jealousy ufc jonjon || Ground truth: anger
it' nationalfrenchfryday and i'm work at mcdonald' frighten || Ground truth: anger
great gam of tenni thi on 👌 🏻 👌 🏻 🎾 nervou || Ground truth: joy
goal too many of u ar not liv our dream becaus w ar liv our fear l brown success || Ground truth: optimism
user never a good experienc at  fort av location i never learn becaus i lov chipotl terribl badservic || Ground truth: anger
user th gupta i th middl man from hell men with cigar sitt and plott in th dark of night || Ground truth: anger
after all of th disney animat film ar remad in liv action will they just reanimat them again || Ground truth: optimism
samuel and when saul saw that h had great success h stood in fear aw of him || Ground truth: joy
also been kind of silent on  of th x fil becaus i am terrifi that cc i go to screw it up actual i know h will dread || Ground truth: anger
user thi i a deliberat act of provocation akp announc their intention to abolish tsk which ha been their goal sinc day on || Ground truth: anger
support your local firefighter to help ensur they ar abl to carry out their job tonight without fear of attack or harassment nifr || Ground truth: optimism
user hahaha user almost fell off th sofa laugh at that point th we jump h did a if h wa scar too 😭 || Ground truth: joy
vega you won || Ground truth: joy
user user did you se it it' literal all porn do sh real work for huff post || Ground truth: anger
user user w ne to get you out of ther and relocat to somewher that isn't afraid of sunshin || Ground truth: optimism
black peopl music alway ha that aw littl tstsststsststss sound it real bother m || Ground truth: anger
user user user ar u seriou wow 😳 || Ground truth: joy
so it' a proper test match day now ttv  team respond to yesterday' attack from aiadmkmerger team entertain to b honest || Ground truth: joy
user tri it onc pour into th sink didn't bother to mak tast not look lik cheap sak tast lik it too || Ground truth: anger
even th devil wa onc an angel tuesdaythought chang think devil angel anxiety wordsofwisdom || Ground truth: optimism
user user user user user bitch play every rol sh ever did exact th sam dull || Ground truth: anger
ang cut ni grim reaper omg || Ground truth: joy
i respect facebook and them kill snapchat if you can't buy em beat em fb || Ground truth: anger
they'v clear th warehous floor at work and there' sooo much beauti smooth concret 😭 || Ground truth: joy
a bitter woman say all men ar th same' a wis woman decid to stop choos th sam kind of men || Ground truth: optimism
hour of hell again anxiety at thi point i'm convinc i'll never get an on sit job again or play keyboard liv || Ground truth: anger
user user rob i bad || Ground truth: anger
i wa deep struck with her very presenc expression &amp soul penetrat performanc i wa lost in her bliss ninnukori user || Ground truth: joy
i thought h cri over som of hi relativ death or someth but when i know th truth i just wanna burst out 😂 || Ground truth: joy
mothafucka wanna adopt th dark but i wa born in it || Ground truth: anger
♪ rac all around th seven sea chas all th girl and mak robberi 'caus panic everywher they go party hardy on titanic ♪ || Ground truth: joy
user th i tho my pout wa actual seriou || Ground truth: optimism
a littl positivity for a dreary tuesday from my littl jar of positivity now availabl in my etsy stor selfhelp handmadehour anxiety || Ground truth: optimism
user ar u go to se her in th airport 😃 || Ground truth: joy
pm reminder you ar ok you ar saf don't panic anxiety calm panic || Ground truth: optimism
user mccain i revolt || Ground truth: anger
user h will b jeer even mor by next year doesn't seem to get it that every last european includ brit think h i dread || Ground truth: anger
user user no sh incriminat herself with a multitud of feloni over her decad of terror on th u maga potu || Ground truth: anger
user omg ar you kidd m with thi i thought penc wa bad but they had to go even farther || Ground truth: anger
user i alway preferr th quiver || Ground truth: joy
user crown teach th kiddi to hav a flutter || Ground truth: joy
mon th blu origin queenslandvsnsw blu hayneplan 🔵 🔵 🔵 🔵 🔵 🔵 🔵 || Ground truth: joy
oh yeon so' kdrama i so nic and i am still in aw that sh and dara ar friend now hop they can hav kdrama soon || Ground truth: joy
