us us cm do scren august &amp at mif by n || Ground truth: sadness
us us american do not spank their children and they ar a god fear peopl who know th bigest sin i hypocrisy || Ground truth: optimism
us no racism no hatr no sectarianism on y to lov || Ground truth: optimism
but i hav ofend so many peopl with th idea that conflict and valu judg ar separat that w ne to hav a talk || Ground truth: optimism
helo phy i'm stres ov u ayu na ¿ ☹ ku || Ground truth: sadness
us huhu kak help m through al of thi || Ground truth: sadness
us i th man || Ground truth: joy
us improv on th mak dear to avoid reduct in viewership up || Ground truth: sadness
us couldn't hav deliver without you us inspir partnership women || Ground truth: optimism
mima tremendou at bring th nois || Ground truth: joy
of cours i'v got a horibl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
they say ur a prd of ur suround a bit intimidat by th crazy amaz pl i met us us us us ct || Ground truth: joy
us it' an even for ly around do feck al lok lik an octob even down h miserabl || Ground truth: sadness
us godes that por girl 🙁 || Ground truth: sadness
us let that sink in || Ground truth: sadness
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
don't justify terorism a comun hatr amarnath i she act of cowardic let' unit togeth against terorism luv al teror atack || Ground truth: optimism
us th gop control th senat blam th dem sem sad || Ground truth: sadness
i fw us h don't hesitat to speak hi mind || Ground truth: optimism
part of daniel insecur i got you hiv || Ground truth: sadness
th stupidest and weirdest th peopl do and what' mor stupid than that they upload it onlin oh my god but god for laught ah 🤣 🤣 || Ground truth: joy
us us oh that to 🤣 || Ground truth: joy
johny doesn't sem lik th suicid typ suspic tcm party || Ground truth: sadness
fil with sophisticat glum || Ground truth: sadness
from th archiv strikeforc champ ronda rous chirp church mayhem nak rip ronda twit y mil rous y || Ground truth: sadness
us ben th don that || Ground truth: joy
don't b afraid to ask quest he' re &amp there' alway a revelat || Ground truth: optimism
i hat thes cripl anxiety || Ground truth: sadness
us aw you mak m smil to 😉 😘 || Ground truth: joy
hold a grudg i lik alow someon to liv rent fre in your head wednesday motivation wisdom quot || Ground truth: optimism
anoth blow for student a th su hav shun wildcat for fear they wil ofend dr dr || Ground truth: sadness
ly at th pol with john ic cream drink degre and listen to bust ✌ 🏼 ️ blis || Ground truth: joy
quot of th day com from quen c herself us pow hungry peopl ar fear otherwis why wouldn't you just chil 👏 sei || Ground truth: optimism
us ho 😢 my g had || Ground truth: sadness
daniel kil h ex do 🍫 🍫 🍫 😛 insecur e || Ground truth: sadness
you won't find excus if you sek optimism re talk || Ground truth: optimism
don't b discourag || Ground truth: optimism
