yuk no video do zico th world i shak won || Ground truth: sadness
when you should b work but your shop amazon prim de instead 😦  || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quel horor yumy mumi au || Ground truth: anger
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
us i know 😰 || Ground truth: sadness
cold sor ar th worst th second you smil or laugh it' ov blod everywh || Ground truth: sadness
us shock a wel but bc i che for anoth club in th swis league… || Ground truth: optimism
whatev you want to do if you want to b great at it you hav to lov it and b abl to mak sacrific for it quot for you || Ground truth: optimism
com on blu stat origin nsw nsw of origin blu || Ground truth: optimism
watch scotish from last night smok flam tens sound efect and live comentary bor dul shit 🙈 open hero chaleng || Ground truth: anger
us at least smil a litl ho crap twigy || Ground truth: anger
fel lik a grim reap al day heheh day pa 🎩 ✉ ️ || Ground truth: sadness
us us it i inde tim you creat th ghost filt 👻 pleas 🙏 🏾 can snap ghost r w get a ghost filt chat filt twet || Ground truth: optimism
us a fel or qu w || Ground truth: sadness
or just blam th glomy weath || Ground truth: sadness
us aft you said an apl pi isn't naughty i real want chri or us to say but a cream pi i n rag aug hy mind || Ground truth: anger
us us th f word a much a you ne to peopl may start to listen || Ground truth: optimism
us sam a th bul in second grad clasic || Ground truth: anger
idk why tif alway hav a am alarm that r everyday for || Ground truth: anger
alien newborn alien resurect sideshow colectibl thi th real wa an abominat horor alien figur || Ground truth: anger
god to learn wisdom &lt &lt reform v mak in ord to improv someth &gt &gt || Ground truth: optimism
you griev for thos who should not b griev for kisabl al kis lov m shop mag out denim for marc || Ground truth: sadness
on hour great next hour bulshit welcom to godyear 😠 || Ground truth: anger
when wil i ev b hapy with myself || Ground truth: sadness
hey us your go to go to jail on day  || Ground truth: anger
if th blu w whiskey i'd stay drunk al th tim || Ground truth: sadness
it' in th morn and i'm dry as up 😂 || Ground truth: sadness
my inocent ey 😭 || Ground truth: sadness
who also mis gle g gle gle dream dont gle us lek forev com tru stop believ cast || Ground truth: sadness
i should'v stay in b || Ground truth: sadness
us lov light up old task wil son go and seriou || Ground truth: optimism
amazon' prim debut in india wa disapoint may next year it wil get bet glad it' final h though 😅 day b || Ground truth: anger
sh trap m but i lov h insecur kil us m || Ground truth: sadness
tuesday night and th win i com out just got hom from work if that explain it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ iritat || Ground truth: anger
who knew magnu ban with teary ey and trembl lip would b my downfal || Ground truth: sadness
us oh for four year thes panelist w th lnp che squad hypocrit || Ground truth: anger
color ngen worst fila for m god finish but so fragil c us fab || Ground truth: anger
fel blind new spec pleas 😰 || Ground truth: sadness
mod kinda bit bc le hi didn't apear in ja debut mv won || Ground truth: anger
i'm extra lazy today 😟 || Ground truth: sadness
us th i noth comic or funy about corupt ofic and negotiat th rand amount for a brib 😡 || Ground truth: anger
i ne a blu wat trip lot of funct no dres panic || Ground truth: sadness
us first second on wil i music to my ear 😭 ❤️ ️ shak mis tnt you || Ground truth: sadness
no on want th chuby scar toy hurt || Ground truth: sadness
us humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to ad big tim los arsehol 🇬 🇧 || Ground truth: anger
us th i tho my pout wa actual seriou || Ground truth: optimism
so us w ne long episod 🙏 🏽 🙏 🏽 😫 😫 insecur || Ground truth: sadness
you chos your mod on weath your go to b a bles or b rud  || Ground truth: optimism
on that not petit to tak hp for credit so your horific grad in th mat les or u freshmen advic || Ground truth: anger
a nat i a society unit by delus about it ancestry and by comon hatr of it neighbor fact team folow back || Ground truth: anger
may trash talk i on par with nat diaz teribl would lov to se mcgregor ko him mayweath weath v mcgregor || Ground truth: anger
actual guna mis america a lot 😰 || Ground truth: sadness
for every dark night 🌑 there' a bright day 🌞 || Ground truth: optimism
year 😭 rest in piec corey gle mon th ith || Ground truth: sadness
us may i ask a quest pleas scar || Ground truth: sadness
