us us cm do scren august &amp at mif by n || Ground truth: sadness
when you should b work but your shop amazon prim de instead 😦  || Ground truth: anger
us rumor ha you ar wel awesom truth i you ar a big 😲 not so you know a bunch of gay so endow so much peopl what || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quel horor yumy mumi au || Ground truth: anger
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
us you lok shok afraid shok impeach you ar go down || Ground truth: anger
thi nightmar i near ov gang gang gang || Ground truth: optimism
cold sor ar th worst th second you smil or laugh it' ov blod everywh || Ground truth: sadness
unforgive liv in th dark || Ground truth: sadness
us shock a wel but bc i che for anoth club in th swis league… || Ground truth: optimism
com on blu stat origin nsw nsw of origin blu || Ground truth: optimism
watch scotish from last night smok flam tens sound efect and live comentary bor dul shit 🙈 open hero chaleng || Ground truth: anger
fel lik a grim reap al day heheh day pa 🎩 ✉ ️ || Ground truth: sadness
us us it i inde tim you creat th ghost filt 👻 pleas 🙏 🏾 can snap ghost r w get a ghost filt chat filt twet || Ground truth: optimism
usual th th you ar most afraid of ar th most worthwhil fact team rock folow back th twet || Ground truth: optimism
from th archiv strikeforc champ ronda rous chirp church mayhem nak rip ronda twit y mil rous y || Ground truth: sadness
us us it ruin my frig night each night at pm mr lov it i'v ben ear to b for a month || Ground truth: anger
idk why tif alway hav a am alarm that r everyday for || Ground truth: anger
us sometim our judiciary just leav you breathles and spechles || Ground truth: anger
alien newborn alien resurect sideshow colectibl thi th real wa an abominat horor alien figur || Ground truth: anger
no ofens to thos who lov k cultur u can lov it al you want b 💖 but i just personal want to get to know my own country  || Ground truth: optimism
when wil i ev b hapy with myself || Ground truth: sadness
us gut 😂 😂 😂 go and sunk your fac in sand || Ground truth: anger
if th blu w whiskey i'd stay drunk al th tim || Ground truth: sadness
who also mis gle g gle gle dream dont gle us lek forev com tru stop believ cast || Ground truth: sadness
i should'v stay in b || Ground truth: sadness
and clear al thi breathles coverag isn't cover th re colus story dnc &amp ukrain colus || Ground truth: anger
us lov light up old task wil son go and seriou || Ground truth: optimism
amazon' prim debut in india wa disapoint may next year it wil get bet glad it' final h though 😅 day b || Ground truth: anger
tuesday night and th win i com out just got hom from work if that explain it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ iritat || Ground truth: anger
who knew magnu ban with teary ey and trembl lip would b my downfal || Ground truth: sadness
aft al of th disney animat film ar remad in liv act wil they just reanimat them again || Ground truth: optimism
us oh for four year thes panelist w th lnp che squad hypocrit || Ground truth: anger
color ngen worst fila for m god finish but so fragil c us fab || Ground truth: anger
us ben a damn sight bet g pok gril chest a low snarl leav him risk by  || Ground truth: sadness
us wait i saw thi twet and thought h wa jok h wa seriou 😂 😂 😂 || Ground truth: anger
fucк m on kik guy h dick sex women snap sex x horny bodi m t || Ground truth: anger
mod kinda bit bc le hi didn't apear in ja debut mv won || Ground truth: anger
us i said that onc and my p rip m a new arsehol 😊 || Ground truth: anger
wel my mind oficial blown aft that gam got got  whit cry of thron walk || Ground truth: sadness
dro and hi teth ar stil fin tho insecur || Ground truth: optimism
big ov siz cloth hour of us for bad haircut 😊 re big rag 🍑 || Ground truth: anger
i ne a blu wat trip lot of funct no dres panic || Ground truth: sadness
us first second on wil i music to my ear 😭 ❤️ ️ shak mis tnt you || Ground truth: sadness
you dar threaten m thor with so puny a weapon || Ground truth: anger
us us yip coz he' a miserabl hufy get 😊 || Ground truth: anger
i'm stil bit about th fact that i didn't get th php lit promo || Ground truth: anger
us humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to ad big tim los arsehol 🇬 🇧 || Ground truth: anger
schol duti 😧 god night pl || Ground truth: sadness
us th i tho my pout wa actual seriou || Ground truth: optimism
lov get hour of slep and then get woken up to horid alergi oh god morn world alergy wonder || Ground truth: anger
us th  movi doesnt hav a midnight premi wh i liv thi i an atack  midnight outrag moji moji movi premeir || Ground truth: anger
majka didn't start || Ground truth: sadness
us ya writ horor so everyth today in th world lok norm to thi dark individu || Ground truth: anger
us bit w al hav bad experienc thi wa year ago tim to let it li us forev ❤😍 😍 ❤ || Ground truth: optimism
us thi thread i a bunch of put lov rejoic ov a video post by iranian stat televis sad in || Ground truth: sadness
hous sit for mil fed baby and cat start scratch at dor mumy now ne a napy  terifi nev nop again || Ground truth: anger
a nat i a society unit by delus about it ancestry and by comon hatr of it neighbor fact team folow back || Ground truth: anger
for every dark night 🌑 there' a bright day 🌞 || Ground truth: optimism
quick anoying vagu scream into th void a i'm nervou excit terifi try not to get my hop up a a agh || Ground truth: anger
at least us not turn up i not th most outrageou th at f liv kais chief || Ground truth: anger
first ev doctor apoint without my mum how daunt || Ground truth: sadness
flatmat provo pin polen man cat || Ground truth: anger
us first it wa steam pusy with garlic now thi 😰 ao i giv up || Ground truth: sadness
