what mak you feel joy || Ground truth: joy
i am revolt || Ground truth: anger
user get donovan out of your soccer booth he' aw he' bitter h mak m want to mut th tv horrid || Ground truth: anger
user what an f' liar || Ground truth: anger
user user american do not spank their children and they ar a god fear peopl who know th biggest sin i hypocrisy || Ground truth: optimism
i lov swimm for th sam reason i lov meditat th feel of weightless || Ground truth: joy
th solar eclips wa real cool inspir || Ground truth: joy
user rumor ha you ar wellendow awesom truth i you ar a big 😲 notsomuch so you know a bunch of gaypeopl sowhat || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quell horror yummymummiesau || Ground truth: anger
let' start all over again feel lover happi loyalty truth || Ground truth: joy
r sox fan ar mad onher it' almost lik their all star relief pitcher and st baseman both left with injuri in thi gam 🤷 🏻 ‍♀ ️ || Ground truth: anger
overheard i don't real lik dog i don't feel saf in thi plac clear a hostil environment big covfef trustnoon || Ground truth: anger
request mri year ago neuro on request last year i'm still wait on appointment mssuck healthcarefail || Ground truth: anger
user user a seriou character flaw nowher clos to user || Ground truth: anger
let u not becom weary in do good for at th proper tim w will reap a harvest if w do not giv up ” galatian niv || Ground truth: optimism
omg they said kyungsoo look gloomy and hi instant smil after that i'm melt || Ground truth: joy
lov to se them interact 😸 🙏 itsbeensolong laugh || Ground truth: joy
happy birthday day trip great day super nic weather blu sky good mood fun lov ic cream lycklig födelsedag öland || Ground truth: joy
mima tremendou at bring th nois || Ground truth: joy
user wis you mean 😅 || Ground truth: joy
remain attach to god dur your happi and dur your sad || Ground truth: optimism
thi nightmar i near over gang gang gang || Ground truth: optimism
whatever you want to do if you want to b great at it you hav to lov it and b abl to mak sacrific for it quot for you || Ground truth: optimism
chiropractor tim crackl pop chiropractor || Ground truth: joy
faint glimps of th circl star present a i went on still gain velocity th palpitation of night and day merg into on || Ground truth: joy
don't justify terrorism a communal hatr amarnathterrorattack i sheer act of cowardic let' unit together against terrorism luv all || Ground truth: optimism
john let not your heart b troubl neither let it b afraid peac afraid || Ground truth: joy
user user no it wa a selfi of him from seven month ago look at th top left of th snap peopl || Ground truth: joy
do you ever just get so excit that you'r try to sleep &amp just can't even clos you ey 😁 lik i real ne thi catnap but excitement || Ground truth: joy
sleep i my drug my b i my dealer my alarm i th cop school i th jail teamfollowback || Ground truth: joy
h i hold her so clos wrapp hi hand around her shoulder sh i hold them and they'r both smil i'm still liv ☺ ️ || Ground truth: joy
user user oh that too 🤣 || Ground truth: joy
prepar to suffer th st of ghost rider' power prepar to know th tru mean of hell || Ground truth: anger
user i'm very happy glad or whatever th feeling i'm not into drama || Ground truth: joy
user user it i inde tim you creat th ghost filter 👻 pleas 🙏 🏾 canwegetaghostfilter snapchat ghostfilter retweet || Ground truth: optimism
user yessss wait for an epi i for th bird it suck im wait for walk dead new season 😩 || Ground truth: anger
user user it ruin my frigg night each night at pm mr lov it i'v been ear to b for a month || Ground truth: anger
user i colour my hair bright r and had a dodgy fring dread nophoto thankgood betterblond || Ground truth: joy
robert call m to mak sur i wa awak for my night class || Ground truth: joy
i final got my driver permit y readytodriv nervou scar || Ground truth: joy
user i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
user hav th most wonder day ian || Ground truth: joy
user user happy birthday mom what a wonder cak delivery your bless || Ground truth: joy
idk why tiff alway hav a am alarm that ring everyday for || Ground truth: anger
user well b offend then caus im speakin truth her 😜 || Ground truth: anger
user unbelievabl arroganc to think you know better than stephenhawk || Ground truth: anger
new lyft user us cod to get credit invit hey coupon clipper cheery lyftnow || Ground truth: joy
﻿ mummy cam hom and order pizza even though there' food in th fridg i ain't fight th hypocrisy thi tim jalepeno pin chicken || Ground truth: joy
day tom 😱 || Ground truth: joy
alien newborn alien resurrection sideshow collectibl thi th real wa an abomination horror alien figur || Ground truth: anger
user user ugh not thos vil men again 😱 || Ground truth: anger
user user don't worry narendra modi i not manmohan singh || Ground truth: optimism
hey user you'r go to go to jail on day || Ground truth: anger
too many of u ar not liv our dream becaus w ar liv our fear || Ground truth: optimism
okay thi girl on teen mom i scream but sh on cm dilat 😭 when i wa cm i wa just piss bc sh wouldn't giv m water || Ground truth: anger
user heeeeeey shilaaang 🙁 || Ground truth: joy
user mad your chicken tikka masala w cauliflower &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
lov it when user i laugh a hard at user rif a i am 😂 cry 🤣 🤣 chateaubriand user || Ground truth: joy
idk if i should b angry or happy that a local &amp trust onlin shop i'v been follow sinc i already do wanna on g o' kjdsahk || Ground truth: anger
user becaus ken i a rabid lefty extremist and propagandist || Ground truth: anger
let u not look back in anger or forward in fear but around in aware jam thurber || Ground truth: optimism
user what a terribl company not had a work dishwasher now for week await th engineer i am disabl and ne thi || Ground truth: anger
no legit though thi i my first ever experienc and it' when i don't wear makeup so wa pretty ironic tbh giggl but no ta pal || Ground truth: joy
important read on th differenc between pleasur and happi and th relationship between digitaltechnology addiction &amp depression || Ground truth: joy
i real lov user real great start to thi season resist || Ground truth: joy
down to on roll wonder i ne mor toilet paper personalassistant || Ground truth: joy
seem lik th on tim spent sober thes past few day wa when i wa sleep and even then i wa wak up fad lol || Ground truth: joy
user user if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
user user i us to mak th peanut butter energy ball all th tim my famjam lov them recip yummy || Ground truth: joy
edg of my seat user lov it dragonsonthewall || Ground truth: joy
don't start anyth premature even when u do learn your lesson ear enough know when it' just ur fear or when u ne to back it up || Ground truth: optimism
ya bret you'r alway mak m laugh i 😘 user || Ground truth: joy
user lov light up old task will soon go and seriou || Ground truth: optimism
dry overnight her in newmarket with a cool sunny start but set fair for ladi day good ground || Ground truth: joy
absolute lov that peopl watch th eclips ar cheer for th sun for th moon for wonder 💜 beauti || Ground truth: joy
hav fun today at mad museum stratford upon avon || Ground truth: joy
user user user nervou laughter ensu || Ground truth: joy
i don't fear th unsettl demon insid of m i let them conquer th weakest nook of my soul for that i th on provenanc of my power || Ground truth: optimism
th second typ of anger i nam settl and deliberat and i a reaction to perceiv deliberat harm or unfair treatment by other || Ground truth: anger
batman lik to enrag th heat on th new dimity frock and propos marriag to m pol shaw will lay m a cbgb crazy ball || Ground truth: joy
user user alyssa y don't u us your voic good instead of hatr &amp resistanc of user i'm sur ivanka could help || Ground truth: anger
horny anyon horny bi sex london snapchat gaysnap hornysnap snapchatgay snapchathorny gaysnapchat hornysnapchat snapgay snap || Ground truth: joy
user said sure th bitter of death i past ” || Ground truth: optimism
again thi q i brought to you by my slight feeling of irritation when i se obligat over oblig and i want to know if i'm right || Ground truth: anger
no matter how much user light up th forest they end up gett lost 😂 zescoforest ssbola || Ground truth: joy
i must say th amount of low level fighter and gatekeeper runn their mouth i ridiculou jealousy ufc jonjon || Ground truth: anger
user leav it kanna sam th happen after uri too outrag and outrag until sept anyway r will b out today too || Ground truth: anger
user he' still fum over hi massiv failur at g meet th gravity of junior' fuckup hasn't hit him yet || Ground truth: anger
import shit i not new if you want it tak th step necessary to get it but don't sit and pout over japan do what it' alway don || Ground truth: anger
it' nationalfrenchfryday and i'm work at mcdonald' frighten || Ground truth: anger
great gam of tenni thi on 👌 🏻 👌 🏻 🎾 nervou || Ground truth: joy
also been kind of silent on  of th x fil becaus i am terrifi that cc i go to screw it up actual i know h will dread || Ground truth: anger
harden not your heart a in th provocation and a in th day of temptation in th wilder psalm kjv || Ground truth: optimism
what do on do with all th bitter + anger of lack of job security esp when on ha no obviou manoeuvr to remedy th situation || Ground truth: anger
user user user i so lov user mean user very bright peopl || Ground truth: joy
ten amaz th snap power user get off such a short back sw threat user rd of atp 🎾 🎾 || Ground truth: joy
hav to go to a occupational servic plac for a drug test yet they don't know what th heck i go on just great blah 😡 || Ground truth: anger
user know how much in movi sal now&amp forever in th futur that th actor &amp singer talk their crap about trump american lost || Ground truth: anger
i definite know my karaok song now so hmu and it' by britney shock || Ground truth: joy
user user user user user bitch play every rol sh ever did exact th sam dull || Ground truth: anger
