us shock los of talent young man pray pray for hi fami || Ground truth: sadness
us us american do not spank their children and they ar a god fear peopl who know th bigest sin i hypocrisy || Ground truth: optimism
us no racism no hatr no sectarianism on y to lov || Ground truth: optimism
but i hav ofend so many peopl with th idea that conflict and valu judg ar separat that w ne to hav a talk || Ground truth: optimism
us improv on th mak dear to avoid reduct in viewership up || Ground truth: sadness
us couldn't hav deliver without you us inspir partnership women || Ground truth: optimism
us i don't know my mouth wa burn th whol tim || Ground truth: sadness
us 😂 h lok lik a sea we vers of cousin it from adam fami and wa r tal a al || Ground truth: joy
of cours i'v got a horibl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
work not to || Ground truth: sadness
th patient w increasing protect dur heart atack chain hav encourag smok ang and hundr of new hospit || Ground truth: joy
they say ur a prd of ur suround a bit intimidat by th crazy amaz pl i met us us us us ct || Ground truth: joy
us it' an even for ly around do feck al lok lik an octob even down h miserabl || Ground truth: sadness
us im sory i vot jean &lt u lok bang who tf ne fod anyway when ur a student existenti dread fe u || Ground truth: joy
us let that sink in || Ground truth: sadness
us us us watch th tot on ur chanel right now amaz what' hapen in th usa solar eclips || Ground truth: joy
aj end up be a teribl charact but no on in hi fami ev actual speak to him h witnes so much and just get sent away || Ground truth: sadness
us although i hav a nic vulva i chos not to intimidat oth women with it || Ground truth: optimism
don't justify terorism a comun hatr amarnath i she act of cowardic let' unit togeth against terorism luv al teror atack || Ground truth: optimism
us us no it wa a self of him from seven month ago lok at th top left of th snap peopl i || Ground truth: joy
lok at thi litl guy h i conect to hi magic self 😇 what do you do to kep lif magic 🌈 us magic b || Ground truth: joy
us th gop control th senat blam th dem sem sad || Ground truth: sadness
th stupidest and weirdest th peopl do and what' mor stupid than that they upload it onlin oh my god but god for laught ah 🤣 🤣 || Ground truth: joy
us us oh that to 🤣 || Ground truth: joy
amarnath us us cn u plz an wt u r a of or wt st u to end terorism wn whol india i stnd wth u teror atack frd png ng || Ground truth: sadness
johny doesn't sem lik th suicid typ suspic tcm party || Ground truth: sadness
wow that last chick wa a bit intens por fredi wa a bit unerv lol ninja warior au || Ground truth: joy
fil with sophisticat glum || Ground truth: sadness
my main concern ar th children and hi wif that if sh i stil stuck with him and if sh i then she' strong af jez 😟 || Ground truth: sadness
don't b afraid to ask quest he' re &amp there' alway a revelat || Ground truth: optimism
i hat thes cripl anxiety || Ground truth: sadness
us aw you mak m smil to 😉 😘 || Ground truth: joy
