us us cm do scren august &amp at mif by n || Ground truth: sadness
yuk no video do zico th world i shak won || Ground truth: sadness
when you should b work but your shop amazon prim de instead 😦  || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quel horor yumy mumi au || Ground truth: anger
request mri year ago neuro on request last year i'm stil wait on apoint m healthcar suck fail || Ground truth: anger
cold sor ar th worst th second you smil or laugh it' ov blod everywh || Ground truth: sadness
us shock a wel but bc i che for anoth club in th swis league… || Ground truth: optimism
whatev you want to do if you want to b great at it you hav to lov it and b abl to mak sacrific for it quot for you || Ground truth: optimism
thi weath = my mod ☔ miserabl || Ground truth: sadness
com on blu stat origin nsw nsw of origin blu || Ground truth: optimism
watch scotish from last night smok flam tens sound efect and live comentary bor dul shit 🙈 open hero chaleng || Ground truth: anger
us us it i inde tim you creat th ghost filt 👻 pleas 🙏 🏾 can snap ghost r w get a ghost filt chat filt twet || Ground truth: optimism
us aft you said an apl pi isn't naughty i real want chri or us to say but a cream pi i n rag aug hy mind || Ground truth: anger
from th archiv strikeforc champ ronda rous chirp church mayhem nak rip ronda twit y mil rous y || Ground truth: sadness
us us it ruin my frig night each night at pm mr lov it i'v ben ear to b for a month || Ground truth: anger
morn swindon i th any chanc you can che yourself up a bit bleak 😝 || Ground truth: sadness
god to learn wisdom &lt &lt reform v mak in ord to improv someth &gt &gt || Ground truth: optimism
on hour great next hour bulshit welcom to godyear 😠 || Ground truth: anger
when wil i ev b hapy with myself || Ground truth: sadness
although i laugh and i act lik a clown beneath thi mask i am wear a frown my tear ar fal lik rain from th sky || Ground truth: sadness
if peopl twet about lov we'r a pasionat about oth topic th world would b a much bet plac dul  island || Ground truth: sadness
us i'm sory for any disapoint aron it could b worth ask to mov seat if you aren't hapy to sit by th exit ^bm || Ground truth: sadness
if th blu w whiskey i'd stay drunk al th tim || Ground truth: sadness
who also mis gle g gle gle dream dont gle us lek forev com tru stop believ cast || Ground truth: sadness
duty cal 😧 || Ground truth: anger
i should'v stay in b || Ground truth: sadness
and clear al thi breathles coverag isn't cover th re colus story dnc &amp ukrain colus || Ground truth: anger
us lov light up old task wil son go and seriou || Ground truth: optimism
amazon' prim debut in india wa disapoint may next year it wil get bet glad it' final h though 😅 day b || Ground truth: anger
sh trap m but i lov h insecur kil us m || Ground truth: sadness
us it real i and it wa a norm th a few year ago but it should'v stay in th past by now || Ground truth: sadness
post vacat blu ar so re 😔 || Ground truth: sadness
tuesday night and th win i com out just got hom from work if that explain it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ iritat || Ground truth: anger
i wa so confus but then my in fu wa scream and lik i wa try so hard not to smil or laugh joshi || Ground truth: sadness
who knew magnu ban with teary ey and trembl lip would b my downfal || Ground truth: sadness
may god grant u th ability to se hi unfail lov fil th earth 🌏 psalm a w || Ground truth: optimism
aft al of th disney animat film ar remad in liv act wil they just reanimat them again || Ground truth: optimism
us oh for four year thes panelist w th lnp che squad hypocrit || Ground truth: anger
us ben a damn sight bet g pok gril chest a low snarl leav him risk by  || Ground truth: sadness
fel blind new spec pleas 😰 || Ground truth: sadness
i'v ben awak for day hour and i'm slepy and tir weary raspbery nod bot iot sunshin pi r coast || Ground truth: sadness
wel my mind oficial blown aft that gam got got  whit cry of thron walk || Ground truth: sadness
i'm extra lazy today 😟 || Ground truth: sadness
chad and sarah i honest m and my ex year ago 😂 😂 cb horify || Ground truth: anger
christian christ i your sacrific that turn asid th just deserv wrath of god &amp just satisfi god righteou demand || Ground truth: optimism
dro and hi teth ar stil fin tho insecur || Ground truth: optimism
us th i noth comic or funy about corupt ofic and negotiat th rand amount for a brib 😡 || Ground truth: anger
i ne a blu wat trip lot of funct no dres panic || Ground truth: sadness
us first second on wil i music to my ear 😭 ❤️ ️ shak mis tnt you || Ground truth: sadness
us omg why ☹ || Ground truth: sadness
us us yip coz he' a miserabl hufy get 😊 || Ground truth: anger
i'm stil bit about th fact that i didn't get th php lit promo || Ground truth: anger
us humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to ad big tim los arsehol 🇬 🇧 || Ground truth: anger
schol duti 😧 god night pl || Ground truth: sadness
us th i tho my pout wa actual seriou || Ground truth: optimism
lov get hour of slep and then get woken up to horid alergi oh god morn world alergy wonder || Ground truth: anger
so us w ne long episod 🙏 🏽 🙏 🏽 😫 😫 insecur || Ground truth: sadness
i went so dep into my thought that i start shak i re de upset myself to that point of anxious || Ground truth: sadness
when your leav for work and your husband i stil sound aslep in b 😅 can i just stay hom  || Ground truth: sadness
you chos your mod on weath your go to b a bles or b rud  || Ground truth: optimism
if your nervou about tomorow' origin gam just rememb if it' a decid next year it wil again b th bigest gam of al tim  || Ground truth: optimism
i start my day thank my star then i se my coleagu walk away ear notic period honeymon scen and i wond why god why || Ground truth: sadness
us at on point thi i what i want rba sa hahaha pero di jud oy di jud ☹ what if ga hum ta 😭  || Ground truth: sadness
us ya writ horor so everyth today in th world lok norm to thi dark individu || Ground truth: anger
gh jason &amp sony ar hear a litl mor of what sam went through heartbreak us us us bil mil || Ground truth: sadness
hudl befor flam don't let poetry scar you product i wild haiku || Ground truth: optimism
us bit w al hav bad experienc thi wa year ago tim to let it li us forev ❤😍 😍 ❤ || Ground truth: optimism
us thi thread i a bunch of put lov rejoic ov a video post by iranian stat televis sad in || Ground truth: sadness
a nat i a society unit by delus about it ancestry and by comon hatr of it neighbor fact team folow back || Ground truth: anger
that mo you pour your heart and soul to a girl sh read th mesag but doesn't rep lov relationship help i dont know || Ground truth: sadness
