th on upsid to be death il thi wek i that i'v goten bet at tak pil optimism || Ground truth: optimism
i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
us real i'v had to hang up || Ground truth: anger
slep i and wil alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
ik to pm darl i wil haunt you in your nightmar dres lik a dream best th ev gam ln ov nawaz || Ground truth: joy
us i th man || Ground truth: joy
us us a seriou charact flaw nowh clos to us || Ground truth: anger
mima tremendou at bring th nois || Ground truth: joy
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
remain atach to god dur your hapi and dur your sad || Ground truth: optimism
i fel so intimidat talk to chicken now that i know how prety sh i || Ground truth: joy
you know your numerou m hav kick in when you find stupid th high amus bpd kep ment problem talk mh health || Ground truth: joy
us real becaus music analyz your screnshot with my microscop to i didn't think so ofend || Ground truth: anger
thi nightmar i near ov gang gang gang || Ground truth: optimism
we'r in th bathrom and you perch on th sink i begin to in exasperat resuscitat fat uat || Ground truth: anger
i'm so sick of that i'm don w my ex na we'r nev get back togeth crap so you can get back togeth in lik a month 😂 || Ground truth: anger
faint glimps of th circl star present a i went on stil gain velocity th palpitat of night and day merg into on || Ground truth: joy
lif i to short to hid your fel don't b afraid to say what you fel || Ground truth: optimism
slep i my drug my b i my deal my alarm i th cop schol i th jail team folow back || Ground truth: joy
on th upsid i saw a corgi pupy on th tub today my shin light in th dark || Ground truth: joy
usual th th you ar most afraid of ar th most worthwhil fact team rock folow back th twet || Ground truth: optimism
us ben th don that || Ground truth: joy
us i colour my hair bright r and had a dodgy fr dread no thank bet photo god blond || Ground truth: joy
robert cal m to mak sur i wa awak for my night clas || Ground truth: joy
i final got my driv permit y ready nervou scar to driv || Ground truth: joy
us us my shirt did not ariv today a promis i even pr order it in jun who do i mak my complaint to || Ground truth: anger
us i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
us lok at babi just mak m cros my leg and winc 😂 || Ground truth: joy
had nodl for tea yum yum yumy d a chg nodl m my lg bdl l || Ground truth: joy
did they ofend u and they want it to sound new || Ground truth: anger
us it us to scar m to but it' bet thi way || Ground truth: optimism
i wa so scar i thought i lost anoth daught tonight grate otm ❤ || Ground truth: joy
us on of th twin wa slep next to m i tri to cov my laught but i shok so hard sh wok up || Ground truth: joy
us sometim our judiciary just leav you breathles and spechles || Ground truth: anger
yik got my first job interview next wek haven't had on in year || Ground truth: joy
﻿ mumy cam hom and order piza even though there' fod in th fridg i a fight th hypocrisy thi tim jalepeno pin chicken int  || Ground truth: joy
day tom 😱 || Ground truth: joy
alien newborn alien resurect sideshow colectibl thi th real wa an abominat horor alien figur || Ground truth: anger
i am try to get through to th rac becaus i'v had a car colis ben wait in a queu for minut shock || Ground truth: anger
no ofens to thos who lov k cultur u can lov it al you want b 💖 but i just personal want to get to know my own country  || Ground truth: optimism
h i very play and can hard stay in on spot || Ground truth: joy
us us ugh not thos vil men again 😱 || Ground truth: anger
us u mak my heart flut || Ground truth: joy
to many of u ar not liv our dream becaus w ar liv our fear || Ground truth: optimism
us mad your chicken tika masala w cauliflow &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
us i rememb when ron reagan said tear down that wal trump i so afraid of oth h obvious doesn't fel saf || Ground truth: anger
us us no empathetic and realistic i know when enough i enough unlik th rabid gosh bash mob || Ground truth: anger
real wana dy m hair a bright colour but iv spent al thi tim grow th dy out || Ground truth: optimism
go ov th script for thi wekend can't wait to start film actor actres actres horor horor m lif lif film movi || Ground truth: joy
chicken n stuf go in th crockpot for din din get in my bel || Ground truth: joy
no legit though thi i my first ev experienc and it' when i don't wear mak so wa prety ironic tbh gigl but no ta p up || Ground truth: joy
important read on th diferenc betwen pleasur and hapi and th relationship betwen digit adict &amp depres technology || Ground truth: joy
us mis g i'd real real apreciat a folow back i'm on of your bigest fan || Ground truth: joy
down to on rol wonder i ne mor toilet pap person asistant || Ground truth: joy
