i am revolt || Ground truth: anger
user user cmbyn do screen august &amp at miff || Ground truth: sadness
user no racism no hatr no sectarianism on y to lov || Ground truth: optimism
sleep i and will alway b on of th best remedi for a tir and weary soul || Ground truth: optimism
yukwon no video do zico th world i shak || Ground truth: sadness
user rumor ha you ar wellendow awesom truth i you ar a big 😲 notsomuch so you know a bunch of gaypeopl sowhat || Ground truth: anger
omg we'r eat drink in a restaurant and so i a baby quell horror yummymummiesau || Ground truth: anger
r sox fan ar mad onher it' almost lik their all star relief pitcher and st baseman both left with injuri in thi gam 🤷 🏻 ‍♀ ️ || Ground truth: anger
thi person hasn't upload episod six or seven of th lodg and i'm || Ground truth: anger
user you look shook afraid shook impeach youaregoingdown || Ground truth: anger
user c grew with resentment for herself and th world around her her spin tingl a sh heard th incessant click of a c || Ground truth: anger
user i know 😰 || Ground truth: sadness
cold sor ar th worst th second you smil or laugh it' over blood everywher || Ground truth: sadness
unforgive liv in th dark || Ground truth: sadness
user shock a well but bc i cheer for another club in th swiss league… || Ground truth: optimism
thi weather = my mood ☔ miserabl || Ground truth: sadness
fuckfuckfuck my hand ar shak || Ground truth: anger
com on blu stateoforigin origin nswblu nsw || Ground truth: optimism
user user it i inde tim you creat th ghost filter 👻 pleas 🙏 🏾 canwegetaghostfilter snapchat ghostfilter retweet || Ground truth: optimism
fill with sophisticat glum || Ground truth: sadness
or just blam th gloomy weather || Ground truth: sadness
from th archiv strikeforc champ ronda rousey chirp church mayhemmiller nak rip rondarousey twitter || Ground truth: sadness
user user it ruin my frigg night each night at pm mr lov it i'v been ear to b for a month || Ground truth: anger
my main concern ar th children and hi wif that if sh i still stuck with him and if sh i then she' strong af jeez 😟 || Ground truth: sadness
user id argu that sakura spac i th best of th franchis and it not on your list dissapoint || Ground truth: sadness
morn swindon i ther any chanc you can cheer yourself up a bit bleak 😝 || Ground truth: sadness
idk why tiff alway hav a am alarm that ring everyday for || Ground truth: anger
user sometim our judiciary just leav you breathless and speechless || Ground truth: anger
good to learn wisdom &lt &lt reform v mak in order to improv someth &gt &gt || Ground truth: optimism
user trembl th earth quak and it becam a very great panic || Ground truth: sadness
when will i ever b happy with myself || Ground truth: sadness
user i'm sorry for any disappointment aaron it could b worth ask to mov seat if you aren't happy to sit by th exit ^bm || Ground truth: sadness
user gut 😂 😂 😂 go and sunk your fac in sand || Ground truth: anger
it' in th morn and i'm dry ass up 😂 || Ground truth: sadness
who also miss gle gleek gle gleeforever dreamscometru dontstopbeliev gleecast user || Ground truth: sadness
