pressur 😦 || Ground truth: sadness
user th hatr from th left ought to concern everyon who want a polic stat th left so than can spy on all of u || Ground truth: anger
that moment when peopl say you don't ne medicin it' mind over matter you ne to stop do that bipolar || Ground truth: anger
favorit character who' nam start with th letter m prisonbreak th greysanatomy || Ground truth: joy
when you should b work but you'r shopp amazon prim deal instead 😦 || Ground truth: anger
user user agre with user or you ar of a lower intelligenc would b your messag ther then dread || Ground truth: anger
let' start all over again feel lover happi loyalty truth || Ground truth: joy
overheard i don't real lik dog i don't feel saf in thi plac clear a hostil environment big covfef trustnoon || Ground truth: anger
user improv on th makeup dear to avoid reduction in viewership || Ground truth: sadness
user user you ar a man after god' heart and i am proud that you ar my president blessedandgrate awesome || Ground truth: joy
work not to || Ground truth: sadness
user real becaus music analyz your screenshot with my microscop too i didn't think so offend || Ground truth: anger
user ballroom danc class tomorrow any advic for a first timer || Ground truth: joy
user it' been a littl twitter saga late th tea th i horrific plu they never hav fresh milk to put in it || Ground truth: anger
user so ar you say there' a good chanc that two team might gasp finish last on in th east and on in th west offend || Ground truth: anger
sign of incipient faggotry ar th arsehol quiver and pucker || Ground truth: anger
hey user would it b saf to assum that thi i th most disappoint madden in year in your opinion || Ground truth: sadness
user let that sink in || Ground truth: sadness
user bro no you don't you'll b so dissapoint in m 😂 il let you read it next tim you'r down her tho 💁 || Ground truth: sadness
god bless him in hong kong ex || Ground truth: joy
john let not your heart b troubl neither let it b afraid peac afraid || Ground truth: joy
look at thi littl guy h i connect to hi magical self 😇 what do you do to keep lif magical 🌈 user magical b || Ground truth: joy
th on most important th w forget that w ne to denounc terrorism not stok communalism amarnathterrorattack || Ground truth: anger
so if you hav a real tiny peni get help but pleas don't try to compensat on th road bigcar tinypeni roadrag || Ground truth: anger
yummymummiesau ar you seriou breastfeed should b illegal you breath our air should b illegal dumbass stupid || Ground truth: anger
another blow for student a th su hav shunn wildcat for fear they will offend dr dr || Ground truth: sadness
hav you ever spok in tongu don't b afraid || Ground truth: anger
user well b offend then caus im speakin truth her 😜 || Ground truth: anger
user unbelievabl arroganc to think you know better than stephenhawk || Ground truth: anger
dull start || Ground truth: sadness
th good th about be a pessimist i that when i hav low expectation all th tim i am pleasant surpris mor often pessimist || Ground truth: sadness
user h know wonwoo can't hold any longer when hi finger trembl uncontrollab so sol giv hi mask for wonwoo and || Ground truth: sadness
if peopl tweet about loveisland we'r a passionat about other topic th world would b a much better plac dull || Ground truth: sadness
user you never told moi jkjk || Ground truth: sadness
i keep it real sorry if you get offend 🤷 🏽 ‍♂ ️ || Ground truth: sadness
user i’m glad to hear that kara don’t hesitat to get in touch again if you ne to cheryl || Ground truth: joy
when you baby ha their first temperatur and all you do i worry firsttimemum firsttimemom newborn baby sickbaby worry || Ground truth: sadness
user user user user and i apologis lik tim and you'r still hold a grudg can't help thag || Ground truth: sadness
tfw you a superhero introvert hav to let stranger into your hous to mess around w th bathroom plumb thecatsandiarehid || Ground truth: anger
best th about th bossbaby film ha to b th wizard alarm clock do lotr quot || Ground truth: joy
good to se india indignant about amarnath yatra do also try and visit th area around it too ther may b som mor grav to weep for || Ground truth: sadness
user user alyssa y don't u us your voic good instead of hatr &amp resistanc of user i'm sur ivanka could help || Ground truth: anger
on sid i th concern &amp fear our teen safety &amp happi thathorriblesuicidegam terrify sosick contd || Ground truth: sadness
shak about your bill on snapchat 😅 you'r obvious new to money || Ground truth: joy
import shit i not new if you want it tak th step necessary to get it but don't sit and pout over japan do what it' alway don || Ground truth: anger
user user i'm dismay at th uk decision to pull out of th eu and i'v urg may to rejoin european leader 😉 || Ground truth: anger
user never a good experienc at  fort av location i never learn becaus i lov chipotl terribl badservic || Ground truth: anger
colorfabb ngen worst filament for m good finish but so fragil cc user || Ground truth: anger
user call to action by tv host john oliver who urg viewer to leav comment express their displeasur at th fcc' polici || Ground truth: sadness
befor i fear of not hav you in my lif now i fear of lett you back into my lif fear || Ground truth: sadness
admit that decision ar harder when you sit in th oval offic dumbasastick terrify || Ground truth: anger
user user you real ne better sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
user not good rat nest get rid of them befor they chew your wir $$$$ i also heard they hat th smell of pin sol || Ground truth: anger
user i don't hav a tv in my room 😟 || Ground truth: sadness
user user i never knew th situation wa so dir || Ground truth: sadness
long to se your fac christ jesu i rejoic in th anticipation of your com again || Ground truth: joy
user ther should ne to tak seriou action over terrorism sir || Ground truth: anger
jeremyvin tak a slight dull subject and mak it so tedious bor you actual want to rip your own throat out || Ground truth: anger
it' tak apart my lawn get off my lawn || Ground truth: anger
user out of hi motherfuck mind don't think anyon could say it any better terrify biggestcrybabyinhistory || Ground truth: anger
oh death wher i your st || Ground truth: sadness
updat on person dead &amp another in seriou condition after hom invasion in flint incident happen in colleg cultural center area || Ground truth: sadness
user hey you lost your credibility not that you had any also w told you so 🤣 || Ground truth: anger
♪ rac all around th seven sea chas all th girl and mak robberi 'caus panic everywher they go party hardy on titanic ♪ || Ground truth: joy
what will w do when got i over im start acknowledg endoftheworld gameofthron dontleaveusjustyet || Ground truth: sadness
unfortunate listen to user user a good a hi show i actual mak m want to emigrat worstgovernmentever || Ground truth: anger
cyclist slam break to pac it to traffic light i slam car breaks&amp tell him care near ran him over=all th cuss charm bulwell || Ground truth: anger
user alway sadden m when marriag doesn't work it' never help when peopl get involv and start twist thing too || Ground truth: sadness
user ther would like hav been sign but let her griev it' not your yen yen yen after all || Ground truth: sadness
majka didn't start || Ground truth: sadness
trump' a magician but th prestig keep be nothingburger again and th idiot keep foam at th mouth in pack over it || Ground truth: anger
just ask someon for help and to low key b my mentor adulthood anxiety || Ground truth: sadness
on that not petition to tak hp for credit so your horrific grad in ther matter less orufreshmenadvic || Ground truth: anger
user who even knew that th eu could b vindictiv || Ground truth: anger
user som jurono play very smart dont support truth but giv opinion in a way tht ensur government dont feel offend || Ground truth: anger
in thi stat of terror you ar far mor susceptibl to addiction 🤔 also mor like to spend your money in attempt to feel better || Ground truth: anger
amarnathterrorattack sadden to hear thi ne to tak strict action against terrorism || Ground truth: sadness
onc you'v been hurt you'r so scar to get attach again you hav a fear that every person i go to break your ❤️ ️ 💯 || Ground truth: sadness
quick annoying vagu scream into th void aaaaaaaaaagh i'm nervou excit terrifi try not to get my hop up || Ground truth: anger
earlier where' notinmynam gang now hop they hav placard condemn islamic terrorism next || Ground truth: anger
at least user not turn up i not th most outrageou th at f liv kaiserchief || Ground truth: anger
user i try not offend too but tbh if anyon say anyth bad about aaron or aaron stan that' when i start gett shitty 😂 || Ground truth: anger
your smil could never mak m frown || Ground truth: joy
user wish you well sir you ar an extreme straightforward and jovial person || Ground truth: joy
i it weird to look at your creativ work and not know if it look good or not 🤷 🏻 ‍♀ ️ do thi even mak sens 😂 design eclipseday || Ground truth: joy
today wank target long sexy tongu that' my fetish long yummy tongu if any girl want sent m your tongu photo i lov it || Ground truth: joy
user sorry to burst your bubbl but opposition research i part of every political campaign doesn't matter wher it com from || Ground truth: sadness
met a cut virgo boy from main h shar hi joint with m whil w harmoniz in a garden || Ground truth: joy
a includ in th villalta scal peopl liv with pt experienc heavi of th leg and pretibial oedema isth || Ground truth: sadness
why would mourinho b talk about lacazett h doesn't worry about other club' player that' klopp and wenger' job || Ground truth: anger
shaft abrasion from panti mere shift to th sid theoldsideshift annoyanc humansoflatecapitalism || Ground truth: anger
