i'm so nervou i could puk + my body temp i ris ha ha ha ha ha || Ground truth: joy
i cannot se a rational way of bear a grudg to him for that i do not mayb becaus i do not liv by netflix and i do not car || Ground truth: anger
user real i'v had to hang up || Ground truth: anger
user john what do you mak of djt' silenc h would usual b foam at th mouth right now mayb he' constipat || Ground truth: anger
ik to pmln darl i will haunt you in your nightmar dress lik a dream best th ever gameovernawaz || Ground truth: joy
user user ha occupi on full lan for toll collection permanent result in traffic snarl everyday on up link road || Ground truth: anger
user i th man || Ground truth: joy
request mri year ago neuro on request last year i'm still wait on appointment mssuck healthcarefail || Ground truth: anger
user user a seriou character flaw nowher clos to user || Ground truth: anger
mima tremendou at bring th nois || Ground truth: joy
remain attach to god dur your happi and dur your sad || Ground truth: optimism
i feel so intimidat talk to chicken now that i know how pretty sh i || Ground truth: joy
you know your numerou med hav kick in when you find stupid thing high amus bpdproblem keeptalkingmh mentalhealth || Ground truth: joy
thi nightmar i near over gang gang gang || Ground truth: optimism
we'r in th bathroom and you perch on th sink i begin to infatuat exasperat resuscitat || Ground truth: anger
watch scottishopenherochalleng from last night smok flam tens sound effect and live commentary bor dull shit 🙈 || Ground truth: anger
faint glimps of th circl star present a i went on still gain velocity th palpitation of night and day merg into on || Ground truth: joy
sleep i my drug my b i my dealer my alarm i th cop school i th jail teamfollowback || Ground truth: joy
user user oh that too 🤣 || Ground truth: joy
user yessss wait for an epi i for th bird it suck im wait for walk dead new season 😩 || Ground truth: anger
user been ther don that || Ground truth: joy
user i colour my hair bright r and had a dodgy fring dread nophoto thankgood betterblond || Ground truth: joy
robert call m to mak sur i wa awak for my night class || Ground truth: joy
user i'v tri to get through tim today and wait min each tim what do i hav to do to get through || Ground truth: anger
user on of th twin wa sleep next to m i tri to cover my laughter but i shook so hard sh wok up || Ground truth: joy
over hour train and station on to b back wher i start nightmar || Ground truth: anger
yik got my first job interview next week haven't had on in year || Ground truth: joy
day tom 😱 || Ground truth: joy
alien newborn alien resurrection sideshow collectibl thi th real wa an abomination horror alien figur || Ground truth: anger
carlsbad rouladen i on deliciou hearty hom styl dish stop by and let u know how you lik it getdtl ldnont chaucer marienbad || Ground truth: joy
user user ugh not thos vil men again 😱 || Ground truth: anger
user u mak my heart flutter || Ground truth: joy
hey user you'r go to go to jail on day || Ground truth: anger
user heeeeeey shilaaang 🙁 || Ground truth: joy
user i remember when ron reagan said tear down that wall trump i so afraid of other h obvious doesn't feel saf || Ground truth: anger
real wanna dy m hair a bright colour but iv spent all thi tim grow th dy out || Ground truth: optimism
today all india bank strik wth wa thi announc what' thi strik for || Ground truth: anger
no legit though thi i my first ever experienc and it' when i don't wear makeup so wa pretty ironic tbh giggl but no ta pal || Ground truth: joy
important read on th differenc between pleasur and happi and th relationship between digitaltechnology addiction &amp depression || Ground truth: joy
user miss gal i'd real real appreciat a follow back i'm on of your biggest fan || Ground truth: joy
kokobop i such a weird nam but i remember that it i said to b mor lit that growl and it i exo so i'm accept th nam || Ground truth: optimism
user and i'm seriou ju singapor holiday and accompany my friend for job interview with on of my friend || Ground truth: optimism
user yeah hi heart i evil and hi speech reflect that say a lot about your character that you find it awesom how || Ground truth: anger
thes guy real out her disrespect women whil their mom still b do their laundry 🤣 || Ground truth: anger
user every girl nightmar ha ha ha || Ground truth: joy
